id,target
0,0.07807
1,0.08531
2,0.09116
3,0.10023
4,0.07808
5,0.08751
6,0.10682
8,0.08782
10,0.09671
11,0.10834
12,0.09553
14,0.09193
15,0.09161
18,0.08714
21,0.10242
23,0.09684
24,0.10050
25,0.09169
27,0.12561
29,0.09966
30,0.09756
31,0.09602
32,0.08308
33,0.11024
37,0.07504
38,0.09891
39,0.09029
40,0.09403
41,0.09067
42,0.09402
44,0.07717
45,0.09531
47,0.09272
49,0.08192
51,0.08461
52,0.09559
53,0.09979
54,0.10264
55,0.08230
56,0.10855
57,0.11233
59,0.09154
60,0.08711
62,0.09087
63,0.10750
67,0.09119
68,0.08792
69,0.09903
70,0.10117
71,0.08906
73,0.10450
75,0.08405
76,0.08729
81,0.09468
82,0.08101
83,0.07578
86,0.08666
87,0.08404
88,0.09773
91,0.08730
92,0.10074
94,0.07896
97,0.11050
100,0.08613
102,0.09611
103,0.10046
105,0.09113
106,0.08810
108,0.08772
113,0.09490
114,0.10115
115,0.10600
118,0.10209
122,0.09065
124,0.09320
126,0.07705
128,0.09554
129,0.10610
130,0.11542
131,0.10914
132,0.11102
133,0.09338
134,0.09144
135,0.10385
136,0.09888
139,0.09855
140,0.08320
141,0.08441
146,0.06692
148,0.07825
151,0.09030
152,0.08554
154,0.09036
157,0.10074
158,0.07654
159,0.09265
161,0.09834
164,0.11600
165,0.07506
167,0.07883
168,0.08648
169,0.09727
171,0.08349
172,0.10505
173,0.09929
174,0.10227
175,0.08999
176,0.11263
178,0.09117
179,0.09801
180,0.08496
181,0.09410
182,0.07001
183,0.08185
184,0.07716
185,0.09874
187,0.07491
188,0.09995
190,0.09215
191,0.10375
192,0.09471
195,0.09516
196,0.09892
198,0.07423
201,0.09246
202,0.07825
203,0.07845
204,0.09111
207,0.08384
213,0.08508
219,0.08831
220,0.11375
222,0.09779
226,0.10657
228,0.09882
230,0.09233
231,0.09988
232,0.10398
233,0.09991
234,0.09427
236,0.10687
237,0.11291
238,0.08392
240,0.08160
241,0.08351
242,0.08163
243,0.09068
245,0.10426
246,0.12132
247,0.09427
249,0.10205
250,0.09009
251,0.08664
252,0.08914
253,0.10809
254,0.10089
255,0.10074
256,0.10616
257,0.08368
258,0.08589
259,0.09039
260,0.10443
262,0.07923
267,0.08032
268,0.08597
270,0.10428
272,0.10319
273,0.08529
274,0.10889
275,0.08746
276,0.07679
277,0.09702
278,0.07941
279,0.09127
281,0.11748
282,0.09366
283,0.11674
287,0.11660
288,0.09141
289,0.11604
290,0.08652
291,0.08839
292,0.09902
293,0.08296
294,0.07176
295,0.08715
296,0.09727
297,0.09993
298,0.08054
299,0.09043
300,0.09962
303,0.10439
304,0.08507
308,0.06732
314,0.10618
315,0.10045
317,0.09136
318,0.10349
320,0.11437
322,0.09173
323,0.08727
327,0.10301
329,0.07291
331,0.09574
332,0.11659
333,0.09889
334,0.08476
335,0.10395
336,0.11173
337,0.10431
341,0.09583
343,0.08376
345,0.08869
347,0.11497
348,0.07494
349,0.09454
352,0.09265
353,0.09100
354,0.11513
355,0.08228
356,0.10568
357,0.09265
358,0.08308
359,0.09648
361,0.10195
362,0.10060
365,0.08805
366,0.12484
368,0.09344
369,0.10038
371,0.08141
373,0.10080
376,0.11446
377,0.09419
379,0.11306
381,0.09707
382,0.11269
383,0.09447
384,0.08891
385,0.09605
386,0.11794
387,0.09341
388,0.10695
390,0.09127
391,0.09342
392,0.09463
393,0.10937
394,0.08383
396,0.08440
400,0.09549
402,0.14420
403,0.09604
405,0.08701
407,0.09528
409,0.11153
411,0.09051
412,0.08349
414,0.09295
415,0.08304
416,0.08694
418,0.08734
419,0.10120
421,0.07433
422,0.13352
423,0.09351
424,0.08486
426,0.11074
427,0.09497
428,0.10907
436,0.10404
438,0.10328
442,0.08967
443,0.08607
445,0.09236
446,0.09156
447,0.08345
450,0.10137
452,0.08448
453,0.11637
455,0.09586
458,0.10816
459,0.08645
461,0.08833
463,0.09775
467,0.10712
470,0.08045
471,0.09327
472,0.09120
476,0.08395
477,0.12519
481,0.12830
482,0.08816
483,0.12966
485,0.07884
487,0.09464
488,0.09287
490,0.12240
492,0.09050
494,0.09933
497,0.10662
499,0.09220
500,0.10853
501,0.09485
503,0.11100
505,0.09004
506,0.09202
507,0.10466
509,0.08676
510,0.09049
511,0.10856
512,0.09691
514,0.08641
515,0.10287
516,0.09843
517,0.09830
519,0.11162
520,0.12093
521,0.09688
522,0.09914
523,0.09662
527,0.10027
530,0.08689
532,0.09478
534,0.12511
536,0.10500
539,0.08403
543,0.09178
547,0.09558
550,0.09277
551,0.09074
552,0.07797
553,0.10983
555,0.08309
556,0.07029
557,0.09179
558,0.11819
559,0.08913
560,0.09512
561,0.08736
565,0.09652
566,0.08450
567,0.08947
