id,target
0,0.06744
1,0.07415
2,0.06997
3,0.06284
4,0.06212
5,0.05765
6,0.08913
8,0.06155
10,0.07948
11,0.07714
12,0.06426
14,0.06474
15,0.08340
18,0.06852
21,0.06657
23,0.07644
24,0.08179
25,0.08460
27,0.08275
29,0.07820
30,0.07302
31,0.09598
32,0.07059
33,0.07923
37,0.07594
38,0.08438
39,0.08891
40,0.06191
41,0.06776
42,0.07083
44,0.06642
45,0.07174
47,0.09146
49,0.06682
51,0.06909
52,0.06793
53,0.06387
54,0.08535
55,0.05909
56,0.08374
57,0.08057
59,0.06790
60,0.07582
62,0.07314
63,0.09946
67,0.07293
68,0.06303
69,0.07992
70,0.06663
71,0.07641
73,0.07983
75,0.07725
76,0.07400
81,0.08421
82,0.06299
83,0.06092
86,0.07988
87,0.07805
88,0.08666
91,0.07472
92,0.09848
94,0.05514
97,0.07071
100,0.07135
102,0.06575
103,0.08459
105,0.07828
106,0.06365
108,0.05664
113,0.08109
114,0.09201
115,0.07100
118,0.08813
122,0.06472
124,0.09859
126,0.06205
128,0.06826
129,0.08262
130,0.09057
131,0.09000
132,0.08547
133,0.07184
134,0.07820
135,0.06867
136,0.06752
139,0.06380
140,0.06640
141,0.06849
146,0.05773
148,0.07331
151,0.06796
152,0.09336
154,0.06114
157,0.07409
158,0.06235
159,0.07020
161,0.07794
164,0.08451
165,0.06099
167,0.05932
168,0.06690
169,0.06648
171,0.05975
172,0.11151
173,0.06700
174,0.05539
175,0.07645
176,0.07929
178,0.06738
179,0.06342
180,0.05984
181,0.07333
182,0.05562
183,0.08295
184,0.07126
185,0.07384
187,0.07310
188,0.07105
190,0.07023
191,0.07871
192,0.08127
195,0.06681
196,0.06923
198,0.06505
201,0.07176
202,0.05729
203,0.06543
204,0.07120
207,0.06969
213,0.08227
219,0.06610
220,0.07038
222,0.06785
226,0.07521
228,0.07272
230,0.07700
231,0.06633
232,0.07287
233,0.08907
234,0.06149
236,0.07304
237,0.07141
238,0.05839
240,0.06563
241,0.06001
242,0.07136
243,0.06724
245,0.08712
246,0.08781
247,0.07213
249,0.11070
250,0.07624
251,0.05620
252,0.06147
253,0.07680
254,0.08738
255,0.07468
256,0.07928
257,0.06821
258,0.08081
259,0.07097
260,0.06960
262,0.06992
267,0.08099
268,0.06082
270,0.06361
272,0.08150
273,0.06803
274,0.07380
275,0.07839
276,0.06430
277,0.08300
278,0.05328
279,0.08863
281,0.09424
282,0.06931
283,0.08706
287,0.09349
288,0.07522
289,0.08708
290,0.06362
291,0.06833
292,0.09328
293,0.07100
294,0.05869
295,0.06479
296,0.07264
297,0.06950
298,0.07841
299,0.07204
300,0.09253
303,0.07741
304,0.08355
308,0.05006
314,0.09302
315,0.07777
317,0.07022
318,0.09722
320,0.09946
322,0.06469
323,0.07706
327,0.07663
329,0.05840
331,0.09369
332,0.08845
333,0.07284
334,0.06751
335,0.08505
336,0.09466
337,0.06603
341,0.10071
343,0.07591
345,0.08645
347,0.07422
348,0.06584
349,0.06916
352,0.07545
353,0.06584
354,0.09067
355,0.06694
356,0.09545
357,0.07402
358,0.06858
359,0.07615
361,0.09421
362,0.08213
365,0.05333
366,0.08291
368,0.09969
369,0.07138
371,0.06557
373,0.08018
376,0.11263
377,0.07084
379,0.09319
381,0.07341
382,0.09616
383,0.06741
384,0.06974
385,0.08241
386,0.08586
387,0.05969
388,0.09389
390,0.07635
391,0.06663
392,0.09247
393,0.08542
394,0.07121
396,0.08097
400,0.06920
402,0.09659
403,0.07406
405,0.08544
407,0.09955
409,0.07517
411,0.06135
412,0.05912
414,0.08278
415,0.06872
416,0.06986
418,0.06431
419,0.06355
421,0.06742
422,0.11054
423,0.07640
424,0.07111
426,0.08505
427,0.07732
428,0.09722
436,0.08181
438,0.07555
442,0.06444
443,0.06221
445,0.07660
446,0.08364
447,0.06758
450,0.08955
452,0.06282
453,0.08410
455,0.07152
458,0.09130
459,0.06315
461,0.06682
463,0.06602
467,0.08760
470,0.05836
471,0.08809
472,0.07817
476,0.06722
477,0.09502
481,0.09560
482,0.08790
483,0.09611
485,0.05929
487,0.07527
488,0.06070
490,0.08069
492,0.06015
494,0.09163
497,0.08818
499,0.07860
500,0.09056
501,0.07866
503,0.07845
505,0.07668
506,0.06164
507,0.07211
509,0.06846
510,0.07058
511,0.08651
512,0.06994
514,0.07035
515,0.07956
516,0.08188
517,0.08181
519,0.07646
520,0.09226
521,0.07794
522,0.07695
523,0.07447
527,0.07146
530,0.06847
532,0.08819
534,0.08286
536,0.09210
539,0.06543
543,0.05927
547,0.06711
550,0.09255
551,0.08667
552,0.06756
553,0.07478
555,0.05724
556,0.05940
557,0.07325
558,0.09136
559,0.07811
560,0.07176
561,0.06907
565,0.08481
566,0.06692
567,0.05963
571,0.06914
572,0.06549
574,0.06637
575,0.05616
576,0.06944
577,0.06992
578,0.07689
579,0.08035
581,0.08293
587,0.07199
589,0.06813
590,0.09227
591,0.08073
592,0.06179
593,0.06821
594,0.06536
595,0.08097
596,0.06581
597,0.08972
598,0.07688
600,0.06474
602,0.07076
605,0.06124
606,0.07825
607,0.07517
612,0.06131
613,0.07375
614,0.06101
615,0.07656
616,0.07591
617,0.05907
618,0.10242
620,0.05707
621,0.09451
622,0.06029
623,0.07640
628,0.06309
631,0.07083
632,0.05894
633,0.06947
634,0.07976
635,0.06377
637,0.11316
638,0.08067
640,0.09402
643,0.06506
644,0.08922
645,0.09177
646,0.06692
649,0.06241
651,0.08278
653,0.05872
654,0.07316
655,0.09119
656,0.07692
658,0.08778
659,0.07521
661,0.07395
662,0.06441
663,0.07466
664,0.09432
665,0.08575
667,0.06913
668,0.10655
671,0.07820
673,0.07966
674,0.08215
675,0.06026
676,0.06499
677,0.07835
678,0.06550
679,0.08100
680,0.10465
681,0.08665
682,0.07361
683,0.06736
684,0.07284
686,0.06625
687,0.08109
688,0.08706
690,0.07388
691,0.07138
692,0.06896
693,0.07545
694,0.10117
695,0.05926
696,0.07108
698,0.07329
699,0.07024
702,0.08481
703,0.07394
705,0.06350
706,0.07971
707,0.06188
708,0.06746
709,0.11293
710,0.08560
713,0.09275
714,0.07049
715,0.06122
716,0.06449
717,0.07115
718,0.08103
719,0.06211
720,0.10307
721,0.06888
723,0.08362
724,0.09360
726,0.07890
728,0.08362
730,0.06829
732,0.06404
734,0.07165
735,0.07441
737,0.07201
738,0.06599
741,0.06821
742,0.07413
743,0.09301
746,0.06752
747,0.08282
749,0.07820
750,0.09574
752,0.07887
755,0.08071
757,0.06042
758,0.06685
759,0.06117
765,0.09648
766,0.06518
767,0.07631
768,0.06053
769,0.06601
770,0.07078
